id	textes	classes
0	un film plus sur les relations amoureuses et les relations tout court qui peuvent compliquées entre des musulmans et des non musulmans... au final les arts martiaux arrivent en seconde position...	0
1	Un très bon reportage mais qui pour moi manque un peu de preuves pour etre fondé. Plein de scénarios sont possibles pour expliquer ces meurtres, et tout ceux qui ont vu ce documentaire en ressortent avec une idée différentes. A voir quand même.	0
2	Excellent .. Un peu d’humour par moment pour un sujet pourtant très préoccupant aux US, bien sombre avec la montée des supremacistes.... À ne pas rater !!	1
3	La curiosité des dix premières minutes finit par faire place à l'ennui pour ce premier film de Cronenberg qui endort le spectateur avec sa voix-off pompeuse. Si la mise en scène est de bonne qualité, le mutisme de tout le film finit par endormir. Sûrement intéressant si l'on a l'esprit bien éveillé mais sinon c'est chiant.	0
4	Le cinéaste Christophe Gans livre une production audacieuse et romanesque qui nous emmène dans une aventure extraordinaire qui n'a rien a envier aux productions hollywoodiennes et qui nous couple le souffle. Pour commencer la réalisation est somptueuse, accompagnée de magnifiques paysages ainsi qu'une reconstitution méticuleusement soignée du Gévaudan de l'ancienne époque et qui est servi par une BO envoûtante qui colle parfaitement a l'ambiance glauque et glaciale du long-métrage. Ensuite le scénario est fascinant et original, riche en rebondissements surprenants à travers un rythme très soutenu qui nous transporte totalement dans cet univers sombre et passionnante, il faut ajouter à cela des effets spéciaux époustouflants dont la fameuse bête du Gévaudan qui dispose d'un design très réussi. On a des morceaux de bravoure éblouissants. Enfin le casting est quand a lui monumental en étant composé de Samuel Le Bihan, Vincent Cassel, Emilie Dequenne, Monica Bellucci, Jérémie Renier, Jean Yanne, Bernard Farcy et Jean-François Stévenin qui livrent une prestation impeccable de protagonistes troublants et mystérieux. Une réussite totale	1
5	ce film est definitivement inregardable. C'est sans aucub doute le pire etron cinématographique de ces 20 dernieres années et pousse la médiocrité a des sommets jamais atteints, malgré l'application des tony scott et autres joel schumacher.	0
6	Un mélodrame du type téléfilm du lundi après-midi. Ni bon ni mauvais, peut être regardé mais il n'a rien d'exceptionnel. Il est assez mal joué et ressemble à un mélange de téléfilm classique dont nous connaissons dès le début, la fin de l'histoire. Avec exagération a la clef.	0
7	Comme toujours dans ce type de film aux multiples réalisateurs, y'a du bon et du moins bon. L'intrigue principale en elle-même étant relativement similaire au premier opus, inutile de perdre du temps dessus. Le premier segment est axé sur les fantômes/esprits et est plutôt de bonne facture, rien à dire, le meilleur des quatre selon moi. Le deuxième quant à lui est axé sur les zombies et même si la première partie tient la route, la suite déçoit car trop risible, pas assez pro. Le troisième segment prend un autre cap en se concentrant sur une secte asiatique et démarre assez bien, on est très rapidement happé par le mystère qui plane sur cet endroit étrange, mais hélas le dernier quart déçoit par son retournement guignolesque. Pour le dernier segment c'est l'inverse qui se produit, une trop grande première partie se focalise sur des petites farces de gamins avant d'arriver à la partie extra-terrestres qui elle est rapidement stressante, puis frénétique. Au final il ne reste pas grand chose de bon quand on prend un peu de recul, donc 2.5/5 pour le premier opus et 2/5 pour celui ci. Quant au troisième, à suivre...	0
8	"""L'enfant"" était magistral. ""Le silence de Lorna"", construit de la même manière, ennuie fortement et l'interêt du film et ses ""messages"" laissent à désirer... Un film réellement ennuyeux où l'on reste péniblement assis à attendre quelque chose... Mais rien... Rien du tout. Immense déception."	0
9	Un prequel aux aventures de sherlock holmes mais bon pas terrible quoi. les effets speciaux sont tres tres mauvais. les acteurs pas geniaux non plus, quand a l'histoitre elle est tres bof, j'ai pas lu les livres donc je sais pas si c'est vraiment la vraie histoire mais y'a quand meme un tyranosaure dans le film. enfin c'est pas une grosse production apparrement donc tres bizarre car je m'attendais a voir du lourd. quand a sherlock holmes, il a vraiment une tete a claque dans ce film	0
10	L'idée était bien trouvée mais le final reste moyen. Ce film est long, ennuyeux et la fin est prévisible. Dommage qu'il n'est pas exploité l'idée plus profondément. Au final, NULLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL	0
11	Filmé comme une pièce de théâtre. Des français, à la suite d'un attentat, sont sélectionnés par les allemands en guise de représailles. Ils doivent sélectionner parmi eux 2 otages qui seront fusillés. Je n'ai pas trouvé les dialogues très bons. Situation intéressante et dramatique qui m'a semblé mal exploité. Je n'ai pas réellement trouvé d'humour. Il y a des caractères humains, des lâches, une courageuse et un officier allemand plus qu'agaçant qui prend et laisse beaucoup trop de temps dans sa mission.	0
12	Un film que je conseille à tous! Un film qui casse les frontières de la haine entre deux pays, entre deux religions, deux pays ennemis qui s'unissent pour le bien d'une petite fille. Une histoire d'amour pas comme les autres. A voir et à revoir sans hésitation.	1
13	X-Men l'affrontement final est un troisième épisode raté! Pourquoi Bryan Singer tenait tant à faire Superman Returns au lieu de conclure sa trilogie et de la laisser à Brett Ratner???!!!! Le premier point qu'on pourra déplorer dans ce dernier affrontement est que le film n'est pas spectaculaire!!!! Les effets spéciaux sont époustouflants mais les scènes d'action sont TRÈS MAL filmées!!!! Le déplacement du Golden Gate Bridge n'est même pas spectaculaire tellement c'est mal filmé. Le combat final se laisse regarder mais n'est pas spectaculaire malgré les explosions et les effets spéciaux. Alors que Bryan Singer avait une façon de filmer très dynamique, Brett Ratner lui filme comme si c'était son premier film. Les acteurs sont par contre excellents, Hugh Jackman et Halle Berry sont les meilleurs, Ian McKellen, Patrick Stewart, Anna Paquin et Famke Janssen sont aussi très bons mais ne sauvent pas le film. Certains moments auraient pu être émouvants mais le film n'est pas du tout maîtrisé, dommage car on avait moyen de bien faire avecla mort de Xavier et la mort de Cyclope et la mort de Jean. Oui je sais, que des morts qui sot pas maîtrisées.Le scénario est ultra simpliste!!!! Les rebondissements sont pauvres et les situations prévisibles. La musique est décevante sans être nulle. Un troisième épisode très très décevant et pas spectaculaire!!!!	0
14	Tout dans ce film est prévisible et assez convenu jusqu'a l'interprétation de vince vaughn en psychopathe et john travolta en père divorcé.Heureusement pour nous steve buscemi est excellent dans ce second rôle, d'homme qui vient faire du chantage le jour du mariage mais ça ne suffit pas à relever un thriller assez médiocre.	0
15	"J'adore ce film...tout simplement. On est assez loin de l'humour ""Le goût des autres"" et autres (que j'aime beaucoup). Il s'agit d'un film à part... Il faut de tout!"	1
16	Un très bon Thriller ! Nous sommes dès le début plongés dans l'ambiance du film et un fil rouge de l'histoire apparaît dès les premières minutes. On ne peut alors dériver ses yeux de l'écran, ébloui par le film, voulant en savoir plus et découvrir ce que vont devenir et faire les acteurs principaux. Mischa Barton et Jessica Stroup sont vraiment très bonnes dans ce film et même si l'on en vient à aimer ou détester les personnages, il y aura toujours un fond de compassion qui nous transcendera.Scénario bien fissellé, acteurs très bon et ambiance parfaitement adapté au genre du film avec des complots et des combats qui ne laissent pas indifférents. Un très bon film que je conseillerais aux amateurs de ce genre. 4/5. Très bien !	1
17	une histoire déjà vue 100 fois, une réalisation qui prend beaucoup, beaucoup son temps, on doit reconnaître qu'on s'ennuie pas mal à la vision de ce film.	0
18	"Lorsque j'ai appris que les attractions Disneyland ""Pirates des Caraïbes"" et ""Haunted mansion"" serait adapté au cinéma, j'étais plutôt content mais méfiant. Lorsque j'ai appris que Eddie Murphy aurait le role principal je n'étais même plus méfiant mais persuadé que le film serait un navet. Ca n'a pas loupé. Pour des raisons qu'on imagine marketing, les studios Disney ont préféré oublié le folklore et les légendes macabres qui entouraient l'attraction pour n'en garder que le nom et en faire un film familial teinté d'humour bas de gamme. A éviter à moins de chercher le sommeil."	0
19	Un de mes films préférés de Ridley Scott, qui est aussi (souvenir...) le premier film que je me suis payé en DVD, en même temps que le lecteur ! Dire que, depuis, et malgré l'impressionnante liste de films que je possède en DVD, je l'ai souvent revu est un euphémisme. Un des meilleurs rôles de Michael Douglas (que j'aime beaucoup), et un scénario impeccable. Un superbe film noir, sombre et limite glauque.	1
20	Chef d'oeuvre de Fritz Lang, très sombre, superbement réalisé dans un noir et blanc magnifique. La fin aurait gagné à être plus sombre comme celle de la rue rouge par exemple… Mais comment s'attarder sur la dernière minute du film alors que tout le reste est un exemple, un véritable modèle à suivre encore de nos jours.	1
21	La question mérite d'être posée : un film monotone sur la monotonie est-il un succès ou un échec ? A vrai dire, on aurait préféré ne pas avoir à se la poser ... Et on se dit que l'humanisme attachant du propos aurait été plus convaincant s'il avait été servi par une poésie moins lisse que cette imagerie typée National Geographic. Reste cette lumière, intense et magnifique, véritable personnage du film.	0
