"x"
"1"	" EURYALE DEHAYNIN"
"2"	" LEMERCIER"
"3"	" MEZIERES RENNES"
"4"	" FARMAN"
"5"	" QUAI DE LA RAPEE"
"6"	" CHOISY POINT D'IVRY"
"7"	" PORTE DE VILLIERS"
"8"	" STALINGRAD (FONTENAY SOUS BOIS)"
"9"	" GARE RER (JOINVILLE)"
"10"	" MOUFFETARD EPEE DE BOIS"
"11"	" PELLEPORT"
"12"	" TREMBLAY - INSEP"
"13"	" RIVOLI MUSEE DU LOUVRE"
"14"	" EVANGILE"
"15"	" HÔPITAL BICHAT"
"16"	" PLACE DES TERNES - 5"
"17"	" BEAUBOURG"
"18"	" PYRÉNÉES-DAGORNO"
"19"	" BEAUBOURG PLACE MICHELET"
"20"	" MALON (GENTILLY)"
"21"	" CHEMIN VERT BEAUMARCHAIS"
"22"	" MARCHE AUX FLEURS"
"23"	" SAINT PHILIPPE DU ROULE"
"24"	" AVENUE DE LA PORTE D'ASNIÈRES"
"25"	" WAGRAM COURCELLES"
"26"	" REPOS"
"27"	" VAVIN"
"28"	" GAITE LYRIQUE"
"29"	" CLICHY"
"30"	" PLACE ST AUGUSTIN"
"31"	" MAINE LIANCOURT"
"32"	" CREVAUX"
"33"	" MAIRIE DU 15EME"
"34"	" GRENELLE VIOLET (PROP3)"
"35"	" GERVAIS (PANTIN)"
"36"	" J DUPRE"
"37"	" PERI 2 (MONTROUGE)"
"38"	" PLACE ETIENNE PERNET"
"39"	" VERDUN (SURESNES)"
"40"	" PARIS (MONTREUIL)"
"41"	" CONSERVATOIRE"
"42"	" DANTON"
"43"	" CITÉ DE LA MUSIQUE"
"44"	" PLACE DU BATAILLON FRANCAIS DE L'ONU"
"45"	" MARCEL (BAGNOLET)"
"46"	" BELLEVILLE PRE SAINT GERVAIS"
"47"	" POISSONNIÈRE - ENGHIEN"
"48"	" PLACE BIENVENUE"
"49"	" JAVEL"
"50"	" TURBIGO"
"51"	" VAUVENARGUES"
"52"	" PORTE DOREE"
"53"	" PORTE DE CLICHY FRAGONARD"
"54"	" SUFFREN FÉDÉRATION"
"55"	" TOLBIAC ALBERT"
"56"	" HAUSSMANN COURCELLES"
"57"	" CITÉ UNIVERSITAIRE"
"58"	" HARPIGNIES"
"59"	" SIMON BOLIVAR"
"60"	" BOURSE DU TRAVAIL"
"61"	" MATHIS"
"62"	" OPERA CASANOVA"
"63"	" RUE DES BOULETS"
"64"	" GODOT DE MAUROY"
"65"	" FRANCAISE"
"66"	" ARGENTINE"
"67"	" MORLAND"
"68"	" CHARTRES"
"69"	" DOUDEAUVILLE STEPHENSON"
"70"	" TERNES PEREIRE"
"71"	" CUJAS"
"72"	" ROND POINT DE LA CHAPELLE"
"73"	" PARC DE CHOISY"
"74"	" MAIRIE DU 18 EME"
"75"	" GARE DE L'EST"
"76"	" PORT DU GROS CAILLOU (STATION MOBILE)"
"77"	" ROCHER"
"78"	" MALESHERBES"
"79"	" RUE DE PASSY"
"80"	" CLIGNANCOURT MARCADET"
"81"	" GARE D'AUSTERLITZ"
"82"	" JULES FERRY FAUBOURG DU TEMPLE"
"83"	" MAIRIE DU 3EME"
"84"	" HÔPITAL GEORGES POMPIDOU (PROP 2)"
